Designator,Footprint,Quantity,Value,LCSC Part #
"3V3_4, 5V_3",1206,2,LED,
"C1, C8",1206,2,10uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C4, C5, C6, C7, C9",0603,18,0.1uF,
"C2, C3",0603,2,22pF,
"D1, D2",D_SOD-123F,2,1N4148,
J1,ABRACON_ARJM11B1-502-AB-EW2,1,ARJM11B1-502-AB-EW2,
J2,PinSocket_2x20_P2.54mm_Horizontal,1,Conn_02x20_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
Q1,SOT-23_Handsoldering,1,PMOS,
R1,0805,1,12.1k,
"R10, R12, R2, R3, R4, R5, R6, R7, R8, R9",0805,10,10k,
"R11, R15",0805,2,1k,
"R13, R14, R17, R18",0805,4,220,
R16,0805,1,120,
"R19, R20, R21",0805,3,0,
U2,IC_KSZ9031RNXCC,1,KSZ9031RNXCC,
U3,SOT-223-3_TabPin2,1,LD1117S12TR_SOT223,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,25Mhz,
