Designator,Mid X,Mid Y,Rotation,Layer
3V3_4,80.6,-113.6,90.0,top
5V_3,126.95,-99.05,0.0,top
C1,79.8,-95.6,270.0,bottom
C10,112.8,-101.7,0.0,bottom
C11,96.8,-95.7,270.0,bottom
C12,101.7,-93.1,180.0,bottom
C13,107.9,-102.8,270.0,bottom
C14,100.9,-102.8,270.0,bottom
C15,107.2,-107.1,0.0,bottom
C16,101.9,-107.1,180.0,bottom
C17,112.8,-103.2,0.0,bottom
C18,112.6,-99.2,0.0,bottom
C19,111.5,-97.3,0.0,bottom
C2,95.8,-107.2,180.0,top
C20,108.9,-94.3,0.0,bottom
C21,105.4375,-93.1,0.0,bottom
C22,98.3,-95.6625,270.0,bottom
C3,91.9,-103.1,270.0,top
C4,105.5,-115.8625,90.0,bottom
C5,104.0,-115.8625,90.0,bottom
C6,102.5,-115.8625,90.0,bottom
C7,101.0,-115.8625,90.0,bottom
C8,86.4,-108.8,0.0,bottom
C9,81.6,-99.6,180.0,bottom
D1,79.8,-90.9,270.0,bottom
D2,83.2,-96.3,0.0,bottom
FE1,96.6,-105.5,0.0,bottom
FE2,112.6,-104.9,180.0,bottom
J1,104.305,-116.47175,0.0,top
J2,103.98,-85.605,270.0,top
J3,126.845,-94.1,90.0,top
JP1,91.5,-102.2,270.0,bottom
Q1,89.4,-96.0,0.0,bottom
R1,96.9,-102.2,270.0,bottom
R10,100.2,-126.0,270.0,bottom
R11,87.45,-90.0,270.0,bottom
R12,82.4,-90.0,270.0,bottom
R13,97.7,-126.0,270.0,bottom
R14,108.5,-126.0,270.0,bottom
R15,84.95,-90.0,270.0,bottom
R16,85.8,-99.4,0.0,bottom
R17,80.6,-108.9,90.0,top
R18,127.0,-96.9,180.0,top
R2,82.9,-94.1,180.0,bottom
R3,95.1,-90.0,270.0,bottom
R4,97.6,-90.0,270.0,bottom
R5,100.2,-90.0,270.0,bottom
R6,102.7,-90.0,270.0,bottom
R7,105.3,-90.0,270.0,bottom
R8,107.8,-90.0,270.0,bottom
R9,111.0,-126.0,270.0,bottom
U2,104.5,-99.75,90.0,top
U3,85.6,-104.0,0.0,bottom
Y1,95.15,-103.65,270.0,top
