Designator,Mid X,Mid Y,Rotation,Layer
C1,88.2,-103.2,180.0,top
C2,92.6,-103.5,90.0,top
C3,95.4,-99.7,180.0,top
C4,105.5,-115.8625,90.0,bottom
C5,104.0,-115.8625,90.0,bottom
C6,102.5,-115.8625,90.0,bottom
C7,101.0,-115.8625,90.0,bottom
C8,93.6375,-106.65,0.0,bottom
C9,89.8875,-97.1,180.0,bottom
D1,88.2,-100.7,0.0,top
D2,88.2,-98.2,0.0,top
D3,84.2,-111.65,90.0,top
D4,126.75,-98.7,180.0,top
J1,104.305,-116.47175,0.0,top
J2,103.98,-85.605,270.0,top
J3,126.845,-94.1,90.0,top
JP,92.55,-96.1,270.0,bottom
Q1,96.35,-95.3625,180.0,bottom
R1,96.5,-106.6,0.0,top
R10,100.2,-126.0,270.0,bottom
R11,87.45,-90.0,270.0,bottom
R12,82.4,-90.0,270.0,bottom
R13,97.7,-126.0,270.0,bottom
R14,108.5,-126.0,270.0,bottom
R15,84.95,-90.0,270.0,bottom
R16,88.3375,-102.75,90.0,bottom
R17,84.2,-106.95,90.0,top
R18,121.85,-97.7,90.0,top
R2,88.2,-95.95,180.0,top
R3,95.1,-90.0,270.0,bottom
R4,97.6,-90.0,270.0,bottom
R5,100.2,-90.0,270.0,bottom
R6,102.7,-90.0,270.0,bottom
R7,105.3,-90.0,270.0,bottom
R8,107.8,-90.0,270.0,bottom
R9,111.0,-126.0,270.0,bottom
U2,104.5,-99.75,90.0,top
U3,93.9375,-101.6,0.0,bottom
Y1,96.2,-102.9,180.0,top
