seq,rtt_us,status,rxq_drops_delta
0,2811.191,ok,0
1,1515.606,ok,0
2,1520.315,ok,0
3,1466.565,ok,0
4,1493.816,ok,0
5,1533.630,ok,0
6,1555.571,ok,0
7,1528.260,ok,0
8,1515.025,ok,0
9,1454.722,ok,0
10,1499.326,ok,0
11,1507.902,ok,0
12,1445.876,ok,0
13,1410.700,ok,0
14,1444.804,ok,0
15,1421.400,ok,0
16,1443.071,ok,0
17,1425.819,ok,0
18,1409.669,ok,0
19,1472.826,ok,0
20,1487.233,ok,0
21,1467.326,ok,0
22,1488.716,ok,0
23,1792.926,ok,0
24,1499.165,ok,0
25,1502.592,ok,0
26,1508.553,ok,0
27,1500.428,ok,0
28,1508.292,ok,0
29,1516.097,ok,0
30,1513.854,ok,0
31,1522.028,ok,0
32,1522.329,ok,0
33,1480.240,ok,0
34,1497.403,ok,0
35,1400.832,ok,0
36,1391.614,ok,0
37,1392.967,ok,0
38,1392.206,ok,0
39,,timeout,0
40,1878.566,ok,0
41,1920.154,ok,0
42,1544.080,ok,0
43,1488.456,ok,0
44,1510.206,ok,0
45,1528.981,ok,0
46,1513.012,ok,0
47,1863.467,ok,0
48,1952.524,ok,0
49,1529.112,ok,0
50,1519.404,ok,0
51,1513.613,ok,0
52,1518.532,ok,0
53,1512.511,ok,0
54,1818.504,ok,0
55,1533.500,ok,0
56,1513.733,ok,0
57,1520.135,ok,0
58,1515.346,ok,0
59,1518.442,ok,0
60,1483.305,ok,0
61,1460.273,ok,0
62,1399.579,ok,0
63,1391.694,ok,0
64,1392.066,ok,0
65,1402.434,ok,0
66,1401.603,ok,0
67,1389.731,ok,0
68,1393.648,ok,0
69,1389.310,ok,0
70,1408.766,ok,0
71,1425.468,ok,0
72,1393.138,ok,0
73,1389.841,ok,0
74,1392.906,ok,0
75,1397.265,ok,0
76,1407.404,ok,0
77,1395.371,ok,0
78,1391.955,ok,0
79,1394.029,ok,0
80,1393.689,ok,0
81,1392.796,ok,0
82,1390.572,ok,0
83,1389.600,ok,0
84,1389.520,ok,0
85,1393.067,ok,0
86,1390.362,ok,0
87,1389.621,ok,0
88,1391.444,ok,0
89,1390.773,ok,0
90,1390.482,ok,0
91,1387.507,ok,0
92,1390.702,ok,0
93,1394.741,ok,0
94,1390.803,ok,0
95,1390.382,ok,0
96,1389.951,ok,0
97,1387.717,ok,0
98,1399.589,ok,0
99,1392.065,ok,0
100,1387.566,ok,0
101,1390.522,ok,0
102,1392.877,ok,0
103,1393.218,ok,0
104,1392.336,ok,0
105,1389.120,ok,0
106,1409.789,ok,0
107,1412.393,ok,0
108,1397.806,ok,0
109,1399.759,ok,0
110,1391.074,ok,0
111,1390.012,ok,0
112,1387.286,ok,0
113,1393.247,ok,0
114,1389.210,ok,0
115,1388.629,ok,0
116,1390.933,ok,0
117,1392.436,ok,0
118,1397.876,ok,0
119,1390.943,ok,0
120,1390.232,ok,0
121,1389.731,ok,0
122,1389.690,ok,0
123,1389.761,ok,0
124,,timeout,0
125,1968.965,ok,0
126,1551.213,ok,0
127,1984.353,ok,0
128,2068.381,ok,0
129,1529.983,ok,0
130,1508.092,ok,0
131,1790.501,ok,0
132,1871.653,ok,0
133,1532.458,ok,0
134,1499.717,ok,0
135,1513.012,ok,0
136,1498.615,ok,0
137,1519.904,ok,0
138,1494.867,ok,0
139,1511.318,ok,0
