seq,rtt_us,status,rxq_drops_delta
0,2868.358,ok,0
1,1434.154,ok,0
2,1432.291,ok,0
3,1431.369,ok,0
4,1417.863,ok,0
5,1473.628,ok,0
6,1458.059,ok,0
7,1481.983,ok,0
8,1452.579,ok,0
9,1467.727,ok,0
10,1447.098,ok,0
11,1448.391,ok,0
12,1478.768,ok,0
13,1411.712,ok,0
14,1450.825,ok,0
15,1458.259,ok,0
16,1486.031,ok,0
17,1468.388,ok,0
18,1469.771,ok,0
19,1516.087,ok,0
20,1399.409,ok,0
21,1441.338,ok,0
22,1403.897,ok,0
23,1417.653,ok,0
24,1405.671,ok,0
25,1437.280,ok,0
26,1436.298,ok,0
27,1414.407,ok,0
28,1410.801,ok,0
29,1389.169,ok,0
30,1379.742,ok,0
31,1404.999,ok,0
32,1375.204,ok,0
33,1368.181,ok,0
34,1461.255,ok,0
35,1412.013,ok,0
36,1408.456,ok,0
37,1418.856,ok,0
38,1436.990,ok,0
39,1412.083,ok,0
40,1416.531,ok,0
41,1389.540,ok,0
42,1404.398,ok,0
43,1407.194,ok,0
44,1538.209,ok,0
45,1431.630,ok,0
46,1376.887,ok,0
47,1423.324,ok,0
48,1383.860,ok,0
49,1438.913,ok,0
50,1465.943,ok,0
51,1478.577,ok,0
52,1433.322,ok,0
53,1474.029,ok,0
54,1519.394,ok,0
55,1419.957,ok,0
56,1446.397,ok,0
57,1462.918,ok,0
58,1513.703,ok,0
59,1491.111,ok,0
60,1477.936,ok,0
61,1437.931,ok,0
62,1489.608,ok,0
63,1510.307,ok,0
64,1466.314,ok,0
65,1469.901,ok,0
66,1505.507,ok,0
67,1469.580,ok,0
68,1482.836,ok,0
69,1429.846,ok,0
70,1481.492,ok,0
71,1447.349,ok,0
72,1425.959,ok,0
73,1424.115,ok,0
74,1404.919,ok,0
75,1479.409,ok,0
76,1462.356,ok,0
77,1494.537,ok,0
78,1464.010,ok,0
79,1470.723,ok,0
80,1520.185,ok,0
81,1430.067,ok,0
82,1408.206,ok,0
83,1428.854,ok,0
84,1400.511,ok,0
85,1404.869,ok,0
86,1435.557,ok,0
87,1406.753,ok,0
88,1416.070,ok,0
89,1382.147,ok,0
90,1494.507,ok,0
91,1423.153,ok,0
92,1409.508,ok,0
93,1455.313,ok,0
94,1422.131,ok,0
95,1428.694,ok,0
96,1431.119,ok,0
97,1429.986,ok,0
98,1415.809,ok,0
99,1391.604,ok,0
100,1407.795,ok,0
101,1392.045,ok,0
102,1434.985,ok,0
103,1379.923,ok,0
104,1424.206,ok,0
105,1400.191,ok,0
106,1407.063,ok,0
107,1482.795,ok,0
108,1403.927,ok,0
109,1367.800,ok,0
110,1365.045,ok,0
111,1373.961,ok,0
112,1408.586,ok,0
113,1408.226,ok,0
114,1368.802,ok,0
115,1404.859,ok,0
116,1447.939,ok,0
117,1422.582,ok,0
118,1435.717,ok,0
119,1410.319,ok,0
120,1422.612,ok,0
121,1438.242,ok,0
122,1401.362,ok,0
123,1388.779,ok,0
124,1404.338,ok,0
125,1542.466,ok,0
126,1430.918,ok,0
127,1423.494,ok,0
128,1463.078,ok,0
129,1403.166,ok,0
130,1417.603,ok,0
131,1419.216,ok,0
132,1432.511,ok,0
133,1410.219,ok,0
134,1692.818,ok,0
135,1389.621,ok,0
