seq,rtt_us,status
0,1911.984,ok
1,1960.636,ok
2,1872.340,ok
3,1875.476,ok
4,1954.475,ok
5,1935.739,ok
6,1940.959,ok
7,1868.382,ok
8,1863.734,ok
9,1869.224,ok
10,1872.139,ok
11,1899.742,ok
12,1857.051,ok
13,1881.968,ok
14,,timeout
15,2127.099,ok
16,2261.611,ok
17,2249.830,ok
18,2247.605,ok
19,2013.907,ok
20,1995.822,ok
21,2000.851,ok
22,1989.079,ok
23,2048.741,ok
24,2013.746,ok
25,1908.838,ok
26,1981.345,ok
27,2001.583,ok
28,1978.639,ok
29,2209.884,ok
30,2068.088,ok
31,2071.224,ok
32,2345.810,ok
33,2248.617,ok
34,2263.455,ok
35,2007.574,ok
36,2283.793,ok
37,2242.476,ok
38,2288.632,ok
39,2314.952,ok
40,2210.927,ok
41,2245.973,ok
42,2223.140,ok
43,2076.103,ok
44,2239.600,ok
45,1996.373,ok
46,2248.327,ok
47,2243.368,ok
48,2224.783,ok
49,2293.061,ok
50,2012.453,ok
51,2228.520,ok
52,2270.829,ok
53,2371.949,ok
54,2238.008,ok
55,2015.209,ok
56,2234.841,ok
57,2003.426,ok
58,2198.252,ok
59,2367.080,ok
60,2021.961,ok
61,2217.239,ok
62,2248.658,ok
63,2378.301,ok
64,2242.686,ok
65,2005.140,ok
66,1995.772,ok
67,1919.418,ok
68,1867.050,ok
69,1866.780,ok
70,1864.536,ok
71,1860.538,ok
72,1886.046,ok
73,1885.073,ok
74,1926.292,ok
75,1956.198,ok
76,1863.884,ok
77,1859.235,ok
78,1856.520,ok
79,1867.191,ok
80,1869.395,ok
81,1858.945,ok
82,1851.120,ok
83,,timeout
84,1990.482,ok
85,1979.391,ok
86,1956.198,ok
87,1970.695,ok
88,1979.471,ok
89,1986.154,ok
90,1957.089,ok
91,2249.970,ok
92,2197.862,ok
93,2196.149,ok
94,2437.342,ok
95,1953.041,ok
96,2254.418,ok
97,1992.846,ok
98,2193.373,ok
99,1979.982,ok
