seq,rtt_us,status,rxq_drops_delta
0,1507.855,ok,0
1,1407.536,ok,0
2,1377.129,ok,0
3,1452.150,ok,0
4,1440.939,ok,0
5,1514.578,ok,0
6,1457.670,ok,0
7,1444.396,ok,0
8,1384.913,ok,0
9,1459.905,ok,0
10,1444.726,ok,0
11,1432.233,ok,0
12,1487.867,ok,0
13,1423.396,ok,0
14,1489.560,ok,0
15,1444.296,ok,0
16,1533.873,ok,0
17,1445.116,ok,0
18,1424.708,ok,0
19,1394.241,ok,0
20,1388.530,ok,0
21,1392.898,ok,0
22,1398.329,ok,0
23,1399.241,ok,0
24,1377.179,ok,0
25,1381.317,ok,0
26,1393.790,ok,0
27,1394.171,ok,0
28,1390.915,ok,0
29,1381.237,ok,0
30,1378.902,ok,0
31,1390.403,ok,0
32,1399.381,ok,0
33,1391.847,ok,0
34,1393.049,ok,0
35,1438.104,ok,0
36,1390.054,ok,0
37,1379.303,ok,0
38,1392.558,ok,0
39,1392.628,ok,0
40,1399.611,ok,0
41,1383.140,ok,0
42,1400.092,ok,0
43,1395.122,ok,0
44,1393.951,ok,0
45,1395.143,ok,0
46,1393.761,ok,0
47,1407.727,ok,0
48,1444.967,ok,0
49,1377.820,ok,0
50,1385.294,ok,0
51,1391.265,ok,0
52,1399.601,ok,0
53,1427.293,ok,0
54,1387.769,ok,0
55,1402.126,ok,0
56,1425.710,ok,0
57,1400.933,ok,0
58,1454.535,ok,0
59,1427.574,ok,0
60,1456.278,ok,0
61,1415.381,ok,0
62,1389.051,ok,0
63,1391.546,ok,0
64,1401.475,ok,0
65,1444.726,ok,0
66,1392.959,ok,0
67,1394.892,ok,0
68,1397.477,ok,0
69,1390.885,ok,0
70,1414.389,ok,0
71,1436.571,ok,0
72,1375.726,ok,0
73,1390.704,ok,0
74,1392.828,ok,0
75,1394.492,ok,0
76,1405.362,ok,0
77,1395.534,ok,0
78,1394.512,ok,0
79,1394.632,ok,0
80,1398.028,ok,0
81,1416.864,ok,0
82,1425.350,ok,0
83,1410.382,ok,0
84,1367.931,ok,0
85,1395.483,ok,0
86,1388.230,ok,0
87,1390.494,ok,0
88,1396.666,ok,0
89,1397.598,ok,0
90,1385.955,ok,0
91,1396.205,ok,0
92,1396.114,ok,0
93,1393.209,ok,0
94,1400.383,ok,0
95,1419.589,ok,0
96,1389.702,ok,0
97,1384.312,ok,0
98,1392.067,ok,0
99,1393.890,ok,0
100,1420.360,ok,0
101,1396.485,ok,0
102,1394.482,ok,0
103,1397.126,ok,0
104,1397.107,ok,0
105,1401.254,ok,0
106,1407.907,ok,0
107,1393.370,ok,0
108,1382.990,ok,0
109,1391.927,ok,0
110,1393.349,ok,0
111,1394.582,ok,0
112,1521.371,ok,0
113,1406.454,ok,0
114,1396.225,ok,0
115,1402.536,ok,0
116,1392.969,ok,0
117,1384.102,ok,0
118,1422.714,ok,0
119,1394.502,ok,0
120,1391.096,ok,0
121,1387.098,ok,0
122,1390.494,ok,0
123,1393.059,ok,0
124,1435.138,ok,0
125,1386.006,ok,0
126,1373.602,ok,0
127,1392.398,ok,0
128,1380.535,ok,0
129,1418.406,ok,0
130,1399.120,ok,0
131,1399.632,ok,0
132,1377.139,ok,0
133,1385.004,ok,0
134,1392.377,ok,0
135,1395.684,ok,0
136,1426.081,ok,0
137,1395.634,ok,0
138,1391.145,ok,0
139,1400.833,ok,0
140,1397.027,ok,0
141,1400.202,ok,0
142,1412.786,ok,0
143,1394.161,ok,0
144,1377.068,ok,0
145,1393.801,ok,0
146,1390.714,ok,0
147,1400.723,ok,0
148,1395.093,ok,0
149,1391.867,ok,0
150,1392.347,ok,0
151,1399.571,ok,0
152,1389.612,ok,0
153,1411.103,ok,0
154,1425.680,ok,0
155,1395.363,ok,0
156,1379.373,ok,0
157,1387.358,ok,0
158,1393.961,ok,0
159,1398.630,ok,0
160,1401.224,ok,0
161,1398.589,ok,0
162,1384.713,ok,0
163,1386.777,ok,0
164,1401.424,ok,0
165,1382.479,ok,0
166,1406.294,ok,0
167,1383.280,ok,0
168,1389.642,ok,0
169,1390.684,ok,0
170,1388.060,ok,0
171,1401.565,ok,0
172,1440.549,ok,0
173,1394.882,ok,0
174,1391.416,ok,0
175,1402.136,ok,0
176,1393.330,ok,0
177,1420.190,ok,0
178,1399.141,ok,0
179,1413.668,ok,0
180,1371.418,ok,0
181,1387.839,ok,0
182,1389.412,ok,0
183,1491.033,ok,0
184,1399.130,ok,0
185,1394.422,ok,0
186,1394.191,ok,0
187,1398.439,ok,0
188,1390.855,ok,0
189,1440.197,ok,0
190,1400.944,ok,0
191,1403.638,ok,0
192,1394.322,ok,0
193,1392.969,ok,0
194,1390.073,ok,0
195,1394.792,ok,0
196,1392.848,ok,0
197,1389.052,ok,0
198,1388.670,ok,0
199,1392.067,ok,0
200,1389.292,ok,0
201,1401.575,ok,0
202,1439.195,ok,0
203,1393.981,ok,0
204,1391.065,ok,0
205,1391.095,ok,0
206,1392.187,ok,0
207,1421.573,ok,0
208,1399.050,ok,0
209,1396.485,ok,0
210,1397.898,ok,0
211,1401.605,ok,0
212,1381.137,ok,0
213,1424.558,ok,0
214,1435.829,ok,0
215,1380.796,ok,0
216,1392.087,ok,0
217,1392.367,ok,0
218,1395.173,ok,0
219,1396.415,ok,0
220,1396.185,ok,0
221,1395.463,ok,0
222,1396.786,ok,0
223,1389.292,ok,0
224,1422.294,ok,0
225,1389.402,ok,0
226,1396.285,ok,0
227,1373.552,ok,0
228,1382.189,ok,0
229,1389.752,ok,0
230,1390.804,ok,0
231,1396.426,ok,0
