seq,rtt_us,status,rxq_drops_delta
0,1499.687,ok,0
1,1465.192,ok,0
2,1488.535,ok,0
3,1537.888,ok,0
4,1459.581,ok,0
5,1868.958,ok,0
6,1553.758,ok,0
7,1478.487,ok,0
8,1564.969,ok,0
9,1440.997,ok,0
10,1453.710,ok,0
11,1476.323,ok,0
12,1512.310,ok,0
13,1426.590,ok,0
14,1397.235,ok,0
15,1439.144,ok,0
16,1435.185,ok,0
17,1467.036,ok,0
18,1401.863,ok,0
19,1427.040,ok,0
20,1433.533,ok,0
21,1427.111,ok,0
22,1397.816,ok,0
23,1424.165,ok,0
24,1403.387,ok,0
25,1389.481,ok,0
26,1423.534,ok,0
27,1447.108,ok,0
28,1399.419,ok,0
29,1424.647,ok,0
30,1400.181,ok,0
31,1426.520,ok,0
32,1458.099,ok,0
33,1443.552,ok,0
34,1435.456,ok,0
35,1442.670,ok,0
36,1436.027,ok,0
37,1434.194,ok,0
38,1438.352,ok,0
39,1416.912,ok,0
40,1431.138,ok,0
41,1413.576,ok,0
42,1429.785,ok,0
43,1434.185,ok,0
44,1432.511,ok,0
45,1433.243,ok,0
46,1437.680,ok,0
47,1443.672,ok,0
48,1437.310,ok,0
49,1435.407,ok,0
50,1435.587,ok,0
51,1444.764,ok,0
52,1432.271,ok,0
53,1438.782,ok,0
54,1438.372,ok,0
55,1467.026,ok,0
56,1445.636,ok,0
57,1433.843,ok,0
58,1433.653,ok,0
59,1435.977,ok,0
60,1436.789,ok,0
61,1435.857,ok,0
62,1648.735,ok,0
63,1476.744,ok,0
64,1433.072,ok,0
65,1432.631,ok,0
66,1469.971,ok,0
67,1436.789,ok,0
68,1452.188,ok,0
69,1437.471,ok,0
70,1436.168,ok,0
71,1432.602,ok,0
72,1433.312,ok,0
73,1435.015,ok,0
74,1536.335,ok,0
75,1445.766,ok,0
76,1433.132,ok,0
77,1408.415,ok,0
78,1436.458,ok,0
79,1432.040,ok,0
80,1432.672,ok,0
81,1432.361,ok,0
82,1432.310,ok,0
83,1437.450,ok,0
84,1437.631,ok,0
85,1434.044,ok,0
86,1555.782,ok,0
87,1437.630,ok,0
88,1446.677,ok,0
89,1454.612,ok,0
90,1451.466,ok,0
91,1438.612,ok,0
92,1435.236,ok,0
93,1429.104,ok,0
94,1432.741,ok,0
95,1433.193,ok,0
96,1433.573,ok,0
97,1430.828,ok,0
98,1544.720,ok,0
99,1434.494,ok,0
100,1435.777,ok,0
101,1449.783,ok,0
102,1437.340,ok,0
103,1434.765,ok,0
104,1515.766,ok,0
105,1431.198,ok,0
106,1414.608,ok,0
107,1446.266,ok,0
108,1447.488,ok,0
109,1430.337,ok,0
110,1460.614,ok,0
111,1442.579,ok,0
112,1434.756,ok,0
113,1436.849,ok,0
114,1433.884,ok,0
115,1498.264,ok,0
116,1440.616,ok,0
117,1439.154,ok,0
118,1433.543,ok,0
119,1433.152,ok,0
120,1431.038,ok,0
121,1530.204,ok,0
122,1434.084,ok,0
123,1434.224,ok,0
124,1430.357,ok,0
125,1432.751,ok,0
126,1429.074,ok,0
127,1435.817,ok,0
128,1431.980,ok,0
129,1429.235,ok,0
130,1432.882,ok,0
131,1432.571,ok,0
132,1430.848,ok,0
133,1550.722,ok,0
134,1462.968,ok,0
135,1445.715,ok,0
136,1432.901,ok,0
137,1448.090,ok,0
138,1436.559,ok,0
139,1430.738,ok,0
140,1431.038,ok,0
141,1432.672,ok,0
142,1430.837,ok,0
143,1442.680,ok,0
144,1434.284,ok,0
145,1536.426,ok,0
146,1430.538,ok,0
147,1436.449,ok,0
148,1431.790,ok,0
149,1430.588,ok,0
150,1430.637,ok,0
151,1431.930,ok,0
152,1431.419,ok,0
153,1435.687,ok,0
154,1433.503,ok,0
155,1432.972,ok,0
156,1430.878,ok,0
157,1536.095,ok,0
158,1432.891,ok,0
159,1432.441,ok,0
160,1431.559,ok,0
161,1437.180,ok,0
162,1440.226,ok,0
163,1435.296,ok,0
164,1432.681,ok,0
165,1429.785,ok,0
166,1447.769,ok,0
167,1438.111,ok,0
168,1434.364,ok,0
169,1454.422,ok,0
170,1447.920,ok,0
171,1445.114,ok,0
172,1436.859,ok,0
173,1435.677,ok,0
174,1435.827,ok,0
175,1432.892,ok,0
176,1434.144,ok,0
177,1435.787,ok,0
178,1433.633,ok,0
179,1437.130,ok,0
180,1440.065,ok,0
181,1460.463,ok,0
182,1430.717,ok,0
183,1443.441,ok,0
